Total packets,72588
,Protocol,Count
,ARP,24
,BOOTP,77
,DATA,55
,DATA-TEXT-LINES,70
,DB-LSP-DISC,31
,DNS,736
,EAPOL,9
,HTTP,1122
,IGMP,10
,IMAGE-GIF,75
,IMAGE-JFIF,32
,JSON,137
,MDNS,69
,MEDIA,32
,PNG,7
,SSL,13550
,TCP,56439
,URLENCODED-FORM,4
,XML,99
,_WS.MALFORMED,10

,Protocol,Percent
,ARP,0.0330633162506
,BOOTP,0.106078139637
,DATA,0.075770099741
,DATA-TEXT-LINES,0.0964346723976
,DB-LSP-DISC,0.0427067834904
,DNS,1.01394169835
,EAPOL,0.012398743594
,HTTP,1.54571003472
,IGMP,0.0137763817711
,IMAGE-GIF,0.103322863283
,IMAGE-JFIF,0.0440844216675
,SSL,172.217.5.6,192.168.2.3,6
,SSL,172.229.219.108,192.168.2.3,5
,SSL,172.229.222.223,192.168.2.3,3
,SSL,172.229.222.233,192.168.2.3,8
,SSL,172.229.242.230,192.168.2.3,5
,SSL,173.194.134.201,192.168.2.3,5
,SSL,173.194.156.206,192.168.2.3,5
,SSL,173.194.54.149,192.168.2.3,7
,SSL,176.32.103.187,192.168.2.3,8
,SSL,192.168.2.3,104.244.43.71,3
,SSL,192.168.2.3,138.108.6.20,7
,SSL,192.168.2.3,157.52.75.7,3
,SSL,192.168.2.3,162.208.22.74,3
,SSL,192.168.2.3,162.208.22.76,4
,SSL,192.168.2.3,172.217.1.66,12
,SSL,192.168.2.3,172.217.2.1,6
,SSL,192.168.2.3,172.217.2.14,3
,SSL,192.168.2.3,172.217.2.8,4
,SSL,192.168.2.3,172.217.3.6,2
,SSL,192.168.2.3,172.217.4.193,3
,SSL,192.168.2.3,172.217.4.194,79
,SSL,192.168.2.3,172.217.4.205,21
,SSL,192.168.2.3,172.217.4.42,1
,SSL,192.168.2.3,172.217.4.46,6
,SSL,192.168.2.3,172.217.4.70,28
,SSL,192.168.2.3,172.217.5.1,4
,SSL,192.168.2.3,172.217.5.10,1
,SSL,192.168.2.3,172.217.5.2,7
,SSL,192.168.2.3,172.217.5.3,2
,SSL,192.168.2.3,172.217.5.6,8
,SSL,192.168.2.3,172.229.219.108,3
,SSL,192.168.2.3,172.229.222.223,4
,SSL,192.168.2.3,172.229.222.233,3
,SSL,192.168.2.3,172.229.242.230,9
,SSL,192.168.2.3,173.194.134.201,3
,SSL,192.168.2.3,173.194.156.206,3
,SSL,192.168.2.3,173.194.54.149,3
,SSL,192.168.2.3,176.32.103.187,3
,SSL,192.168.2.3,192.229.163.25,24
,SSL,192.168.2.3,192.243.250.36,3
,SSL,192.168.2.3,193.149.47.98,2
,SSL,192.168.2.3,198.51.152.179,3
,SSL,192.168.2.3,199.16.156.241,62
,SSL,192.168.2.3,199.16.156.41,9
,SSL,192.168.2.3,199.96.57.6,6
,SSL,192.168.2.3,204.154.110.227,5
,SSL,192.168.2.3,204.154.111.224,4
,SSL,192.168.2.3,205.251.243.29,7
,SSL,192.168.2.3,205.251.243.54,5
,SSL,192.168.2.3,207.171.162.130,7
,SSL,192.168.2.3,207.171.162.253,12
,SSL,192.168.2.3,212.58.244.114,5
,SSL,192.168.2.3,216.58.219.193,8
,SSL,192.168.2.3,216.58.219.194,1
,SSL,192.168.2.3,216.58.219.202,16
,SSL,192.168.2.3,216.58.219.206,2
,SSL,192.168.2.3,216.58.219.225,3
,SSL,192.168.2.3,216.58.219.237,6
,SSL,192.168.2.3,216.58.219.238,3
,SSL,192.168.2.3,23.21.108.3,6
,SSL,192.168.2.3,23.23.153.77,3
,SSL,192.168.2.3,23.235.46.98,3
,SSL,192.168.2.3,23.44.117.39,3
,SSL,192.168.2.3,23.66.206.216,3
,SSL,192.168.2.3,31.13.71.1,129
,SSL,192.168.2.3,31.13.71.12,5
,SSL,192.168.2.3,31.13.71.14,52
,SSL,192.168.2.3,31.13.71.2,2
,SSL,192.168.2.3,31.13.71.3,24
,SSL,192.168.2.3,31.13.71.36,6
,SSL,192.168.2.3,31.13.71.37,2
,SSL,192.168.2.3,31.13.71.7,251
,SSL,192.168.2.3,52.200.43.126,4
,SSL,192.168.2.3,52.200.91.211,3
,SSL,192.168.2.3,52.22.70.65,5
,SSL,192.168.2.3,52.22.97.116,5
,SSL,192.168.2.3,52.7.36.165,3
,SSL,192.168.2.3,52.72.190.220,4
,SSL,192.168.2.3,52.73.95.52,3
,SSL,192.168.2.3,52.84.121.102,18
,SSL,192.168.2.3,52.84.121.161,3
,SSL,192.168.2.3,52.84.122.103,4
,SSL,192.168.2.3,52.84.122.81,4
,SSL,192.168.2.3,52.84.125.15,4
,SSL,192.168.2.3,52.84.127.95,2
,SSL,192.168.2.3,52.90.181.255,3
,SSL,192.168.2.3,54.209.30.154,3
,SSL,192.168.2.3,54.239.17.7,3
,SSL,192.168.2.3,54.239.22.240,9
,SSL,192.168.2.3,54.239.22.25,5
,SSL,192.168.2.3,54.239.23.139,4
,SSL,192.168.2.3,54.239.24.226,5
,SSL,192.168.2.3,54.239.26.196,3
,SSL,192.168.2.3,54.239.28.200,4
,SSL,192.168.2.3,54.243.174.202,3
,SSL,192.168.2.3,63.117.14.14,15
,SSL,192.168.2.3,63.117.14.150,6
,SSL,192.168.2.3,63.117.14.151,3
,SSL,192.168.2.3,63.117.14.154,5
,SSL,192.168.2.3,63.117.14.180,6
,SSL,192.168.2.3,63.117.14.183,5
,SSL,192.168.2.3,63.117.14.187,12
,SSL,192.168.2.3,63.117.14.208,10
,SSL,192.168.2.3,63.117.14.21,65
,SSL,192.168.2.3,63.117.14.213,11
,SSL,192.168.2.3,63.117.14.218,35
,SSL,192.168.2.3,63.117.14.23,6
,SSL,192.168.2.3,63.117.14.24,6
,SSL,192.168.2.3,63.117.14.244,15
,SSL,192.168.2.3,63.117.14.245,9
,SSL,192.168.2.3,63.117.14.248,31
,SSL,192.168.2.3,63.117.14.249,15
,SSL,192.168.2.3,63.117.14.52,3
,SSL,192.168.2.3,63.117.68.16,7
,SSL,192.168.2.3,63.117.68.22,63
,SSL,192.168.2.3,63.117.68.54,19
,SSL,192.168.2.3,64.12.245.38,3
,SSL,192.168.2.3,64.233.177.157,2
,SSL,192.168.2.3,70.34.16.45,4
,SSL,192.168.2.3,72.21.211.126,3
,SSL,192.168.2.3,72.30.2.182,3
,SSL,192.168.2.3,74.125.138.156,10
,SSL,192.168.2.3,8.43.72.71,3
,SSL,192.168.2.3,98.139.225.42,3
,SSL,192.168.2.3,98.139.225.43,3
,SSL,192.229.163.25,192.168.2.3,85
,SSL,192.243.250.36,192.168.2.3,5
,SSL,193.149.47.98,192.168.2.3,3
,SSL,198.51.152.179,192.168.2.3,5
,SSL,199.16.156.241,192.168.2.3,147
,SSL,199.16.156.41,192.168.2.3,16
,SSL,199.96.57.6,192.168.2.3,18
,SSL,204.154.110.227,192.168.2.3,4
,SSL,204.154.111.224,192.168.2.3,6
,SSL,205.251.243.29,192.168.2.3,7
,SSL,205.251.243.54,192.168.2.3,8
,SSL,207.171.162.130,192.168.2.3,10
,SSL,207.171.162.253,192.168.2.3,9
,SSL,212.58.244.114,192.168.2.3,9
,SSL,216.58.219.193,192.168.2.3,13
,SSL,216.58.219.202,192.168.2.3,20
,SSL,216.58.219.225,192.168.2.3,24
,SSL,216.58.219.237,192.168.2.3,9
,SSL,216.58.219.238,192.168.2.3,6
,SSL,23.21.108.3,192.168.2.3,7
,SSL,23.23.153.77,192.168.2.3,5
,SSL,23.235.46.98,192.168.2.3,5
,SSL,23.44.117.39,192.168.2.3,3
,SSL,23.66.206.216,192.168.2.3,4
,SSL,31.13.71.1,192.168.2.3,318
,SSL,31.13.71.12,192.168.2.3,12
