(highest, src_addr, src_port, dst_addr, dst_port): count
(DNS, 192.168.2.1, 53, 192.168.2.3, 44249): 1
(SSL, 172.217.3.1, 443, 192.168.2.3, 51486): 5
(SSL, 69.172.216.55, 443, 192.168.2.3, 53253): 8
(DATA, 208.117.236.114, 443, 192.168.2.3, 42218): 1
(TCP, 192.168.2.3, 56593, 199.16.156.232, 443): 8
(HTTP, 212.58.244.115, 80, 192.168.2.3, 52550): 1
(TCP, 172.229.233.57, 80, 192.168.2.3, 47497): 6
(DNS, 192.168.2.1, 53, 192.168.2.3, 42300): 1
(HTTP, 192.168.2.3, 48328, 54.239.22.50, 80): 1
(DNS, 192.168.2.3, 5910, 192.168.2.1, 53): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 56581): 1
(TCP, 172.217.2.10, 443, 192.168.2.3, 43406): 1
(DNS, 192.168.2.3, 37007, 192.168.2.1, 53): 1
(SSL, 192.168.2.3, 56262, 52.84.121.108, 443): 3
(IMAGE-JFIF, 172.229.228.216, 80, 192.168.2.3, 38918): 2
(DNS, 192.168.2.3, 37928, 192.168.2.1, 53): 1
(TCP, 192.168.2.3, 40276, 172.217.4.72, 443): 9
(SSL, 192.168.2.3, 40693, 216.58.219.206, 443): 3
(HTTP, 172.217.4.46, 80, 192.168.2.3, 55496): 1
(SSL, 192.168.2.3, 44740, 173.194.206.95, 443): 6
(HTTP, 192.168.2.3, 38985, 23.15.8.64, 80): 3
(HTTP, 192.168.2.3, 36706, 212.58.246.93, 80): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 21277): 1
(SSL, 192.168.2.3, 34095, 216.58.219.193, 443): 3
(DNS, 192.168.2.3, 54755, 192.168.2.1, 53): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 17140): 1
(SSL, 192.168.2.3, 41275, 172.217.4.78, 443): 11
(TCP, 216.58.219.193, 443, 192.168.2.3, 48185): 2619
(SSL, 192.168.2.3, 35340, 216.58.219.206, 443): 4
(TCP, 192.168.2.3, 33976, 148.251.188.8, 80): 301
(TCP, 192.168.2.3, 51281, 216.58.219.206, 443): 42
(TCP, 54.239.26.167, 80, 192.168.2.3, 58540): 3
(TCP, 72.21.211.0, 80, 192.168.2.3, 51302): 7
(SSL, 192.168.2.3, 40053, 54.239.22.50, 443): 8
(HTTP, 192.168.2.3, 52756, 157.166.249.67, 80): 1
(SSL, 192.168.2.3, 45860, 63.117.14.14, 443): 2
(DNS, 192.168.2.1, 53, 192.168.2.3, 16838): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 33555): 1
(SSL, 172.217.2.13, 443, 192.168.2.3, 60943): 2
(TCP, 54.244.225.107, 443, 192.168.2.3, 35829): 4
(SSL, 192.168.2.3, 60776, 172.217.1.78, 443): 3
(DNS, 192.168.2.1, 53, 192.168.2.3, 59872): 1
(SSL, 63.117.14.18, 443, 192.168.2.3, 39826): 53
(HTTP, 192.168.2.3, 37280, 216.58.219.225, 80): 2
(TCP, 52.86.247.32, 80, 192.168.2.3, 40032): 2
(SSL, 23.56.91.247, 443, 192.168.2.3, 37003): 5
(TCP, 212.58.244.115, 443, 192.168.2.3, 53670): 5
(DNS, 192.168.2.1, 53, 192.168.2.3, 24565): 1
(TCP, 192.168.2.3, 56133, 172.229.214.12, 80): 32
(TCP, 172.217.3.1, 80, 192.168.2.3, 38009): 4
(SSL, 192.168.2.3, 54018, 204.154.110.233, 443): 3
(TCP, 172.217.4.38, 443, 192.168.2.3, 34879): 3
(IMAGE-JFIF, 199.27.76.73, 80, 192.168.2.3, 59424): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 47832): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 1812): 1
(TCP, 216.58.219.206, 443, 192.168.2.3, 51958): 4
(TCP, 66.235.153.36, 80, 192.168.2.3, 47454): 5
(DNS, 192.168.2.1, 53, 192.168.2.3, 49130): 1
(TCP, 52.84.121.108, 443, 192.168.2.3, 34199): 4
(TCP, 192.168.2.3, 59292, 199.27.76.73, 80): 36
(TCP, 104.100.150.188, 443, 192.168.2.3, 58650): 3
(SSL, 172.217.4.38, 443, 192.168.2.3, 34880): 6
(TCP, 74.125.162.152, 443, 192.168.2.3, 60322): 10
(DATA-TEXT-LINES, 63.88.100.139, 80, 192.168.2.3, 37477): 1
(SSL, 199.27.76.98, 443, 192.168.2.3, 40164): 6
(TCP, 192.168.2.3, 35379, 172.229.210.55, 80): 5
(TCP, 172.217.4.202, 443, 192.168.2.3, 42070): 13
(TCP, 192.168.2.3, 56655, 174.35.73.99, 80): 38
(TCP, 54.243.111.133, 80, 192.168.2.3, 49755): 3
(HTTP, 192.168.2.3, 39038, 23.15.8.64, 80): 1
(TCP, 138.108.7.20, 443, 192.168.2.3, 48484): 32
(MEDIA, 172.229.214.12, 80, 192.168.2.3, 56133): 1
(TCP, 52.84.121.108, 443, 192.168.2.3, 41106): 4
