Total packets,82439
,Protocol,Count
,ARP,50
,BOOTP,136
,DATA,60
,DATA-TEXT-LINES,86
,DNS,552
,EAPOL,12
,HTTP,362
,IGMP,9
,IMAGE-GIF,33
,IMAGE-JFIF,50
,JSON,15
,MDNS,34
,MEDIA,68
,MP4,2
,PNG,16
,SSL,17878
,TCP,63047
,URLENCODED-FORM,6
,XML,8
,_WS.MALFORMED,15

,Protocol,Percent
,ARP,0.060650905518
,BOOTP,0.164970463009
,DATA,0.0727810866216
,DATA-TEXT-LINES,0.104319557491
,DNS,0.669585996919
,EAPOL,0.0145562173243
,HTTP,0.43911255595
,IGMP,0.0109171629932
,IMAGE-GIF,0.0400295976419
,IMAGE-JFIF,0.060650905518
,JSON,0.0181952716554
,JSON,50.31.185.39,192.168.2.3,1
,MDNS,169.254.5.21,224.0.0.251,1
,MDNS,192.168.2.1,224.0.0.251,1
,MDNS,192.168.2.3,224.0.0.251,30
,MEDIA,104.16.23.190,192.168.2.3,1
,MEDIA,157.166.249.67,192.168.2.3,2
,MEDIA,172.229.214.12,192.168.2.3,1
,MEDIA,192.168.2.3,54.239.28.191,1
,MEDIA,199.27.76.68,192.168.2.3,6
,MEDIA,199.27.76.73,192.168.2.3,1
,MEDIA,216.58.219.225,192.168.2.3,2
,MEDIA,23.235.39.175,192.168.2.3,1
,MEDIA,23.37.13.125,192.168.2.3,2
,MEDIA,52.85.90.226,192.168.2.3,3
,MEDIA,54.175.226.36,192.168.2.3,1
,MEDIA,54.231.49.64,192.168.2.3,1
,MEDIA,54.239.28.191,192.168.2.3,1
,MEDIA,54.240.190.159,192.168.2.3,1
,MEDIA,54.240.190.185,192.168.2.3,1
,MEDIA,63.88.100.163,192.168.2.3,1
,MEDIA,74.120.148.195,192.168.2.3,1
,MP4,184.26.44.97,192.168.2.3,1
,PNG,172.229.214.12,192.168.2.3,3
,PNG,172.229.233.57,192.168.2.3,2
,PNG,184.26.44.104,192.168.2.3,2
,PNG,199.27.76.73,192.168.2.3,2
,PNG,23.15.8.64,192.168.2.3,1
,SSL,104.100.150.188,192.168.2.3,4
,SSL,104.100.160.187,192.168.2.3,3
,SSL,137.117.40.85,192.168.2.3,5
,SSL,138.108.7.20,192.168.2.3,19
,SSL,172.217.1.78,192.168.2.3,6
,SSL,172.217.2.1,192.168.2.3,19
,SSL,172.217.2.10,192.168.2.3,26
,SSL,172.217.2.13,192.168.2.3,26
,SSL,172.217.2.14,192.168.2.3,230
,SSL,172.217.3.1,192.168.2.3,24
,SSL,172.217.3.10,192.168.2.3,9
,SSL,172.217.3.14,192.168.2.3,2
,SSL,172.217.3.2,192.168.2.3,28
,SSL,172.217.4.202,192.168.2.3,7
,SSL,172.217.4.33,192.168.2.3,36
,SSL,172.217.4.38,192.168.2.3,152
,SSL,172.217.4.46,192.168.2.3,10
,SSL,172.217.4.66,192.168.2.3,44
,SSL,172.217.4.72,192.168.2.3,5
,SSL,172.217.4.78,192.168.2.3,100
,SSL,172.217.5.14,192.168.2.3,8
,SSL,172.217.5.2,192.168.2.3,19
,SSL,172.217.5.3,192.168.2.3,10
,SSL,172.229.222.233,192.168.2.3,8
,SSL,172.229.236.200,192.168.2.3,5
,SSL,173.194.133.134,192.168.2.3,6
,SSL,173.194.206.95,192.168.2.3,8
,SSL,176.32.103.187,192.168.2.3,13
,SSL,176.32.99.133,192.168.2.3,5
,SSL,192.168.2.3,104.100.150.188,3
,SSL,192.168.2.3,104.100.160.187,9
,SSL,192.168.2.3,137.117.40.85,4
,SSL,192.168.2.3,138.108.7.20,7
,SSL,192.168.2.3,172.217.1.78,3
,SSL,192.168.2.3,172.217.2.1,8
,SSL,192.168.2.3,172.217.2.10,17
,SSL,192.168.2.3,172.217.2.13,16
,SSL,192.168.2.3,172.217.2.14,73
,SSL,192.168.2.3,172.217.3.1,6
,SSL,192.168.2.3,172.217.3.10,7
,SSL,192.168.2.3,172.217.3.14,4
,SSL,192.168.2.3,172.217.3.2,13
,SSL,192.168.2.3,172.217.4.202,3
,SSL,192.168.2.3,172.217.4.33,9
,SSL,192.168.2.3,172.217.4.38,45
,SSL,192.168.2.3,172.217.4.46,5
,SSL,192.168.2.3,172.217.4.66,31
,SSL,192.168.2.3,172.217.4.72,4
,SSL,192.168.2.3,172.217.4.78,53
,SSL,192.168.2.3,172.217.5.14,3
,SSL,192.168.2.3,172.217.5.2,10
,SSL,192.168.2.3,172.217.5.3,5
,SSL,192.168.2.3,172.229.222.233,3
,SSL,192.168.2.3,172.229.236.200,3
,SSL,192.168.2.3,173.194.133.134,3
,SSL,192.168.2.3,173.194.206.95,6
,SSL,192.168.2.3,176.32.103.187,8
,SSL,192.168.2.3,176.32.99.133,5
,SSL,192.168.2.3,199.16.156.232,9
,SSL,192.168.2.3,199.166.0.200,3
,SSL,192.168.2.3,199.27.76.98,3
,SSL,192.168.2.3,204.154.110.233,3
,SSL,192.168.2.3,204.154.110.245,3
,SSL,192.168.2.3,204.154.111.224,4
,SSL,192.168.2.3,205.251.242.2,3
,SSL,192.168.2.3,207.171.162.130,4
,SSL,192.168.2.3,207.171.162.163,4
,SSL,192.168.2.3,208.117.236.114,3
,SSL,192.168.2.3,208.80.154.240,94
,SSL,192.168.2.3,212.58.244.115,5
,SSL,192.168.2.3,216.58.219.193,37
,SSL,192.168.2.3,216.58.219.194,36
,SSL,192.168.2.3,216.58.219.195,6
,SSL,192.168.2.3,216.58.219.198,11
,SSL,192.168.2.3,216.58.219.206,6
,SSL,192.168.2.3,216.58.219.225,5
,SSL,192.168.2.3,216.58.219.230,10
,SSL,192.168.2.3,216.58.219.232,3
,SSL,192.168.2.3,216.58.219.234,7
,SSL,192.168.2.3,216.58.219.238,13
,SSL,192.168.2.3,23.203.54.220,5
,SSL,192.168.2.3,23.32.174.216,4
,SSL,192.168.2.3,23.37.13.125,4
,SSL,192.168.2.3,23.38.106.99,3
,SSL,192.168.2.3,23.56.91.247,3
,SSL,192.168.2.3,23.76.218.7,4
,SSL,192.168.2.3,31.13.71.36,8
,SSL,192.168.2.3,31.13.71.7,7
,SSL,192.168.2.3,50.19.118.19,3
,SSL,192.168.2.3,52.72.152.84,4
,SSL,192.168.2.3,52.84.121.108,2
,SSL,192.168.2.3,52.86.247.32,4
,SSL,192.168.2.3,54.236.84.167,3
,SSL,192.168.2.3,54.239.18.232,4
,SSL,192.168.2.3,54.239.21.217,5
,SSL,192.168.2.3,54.239.22.50,3
,SSL,192.168.2.3,54.239.23.82,3
,SSL,192.168.2.3,54.239.24.185,5
,SSL,192.168.2.3,54.239.24.226,5
,SSL,192.168.2.3,54.239.25.192,3
,SSL,192.168.2.3,54.239.25.200,3
,SSL,192.168.2.3,54.239.28.191,14
,SSL,192.168.2.3,54.240.190.154,3
,SSL,192.168.2.3,54.244.225.107,7
,SSL,192.168.2.3,63.117.14.116,141
,SSL,192.168.2.3,63.117.14.14,6
,SSL,192.168.2.3,63.117.14.179,4
,SSL,192.168.2.3,63.117.14.18,10
,SSL,192.168.2.3,63.117.68.16,16
,SSL,192.168.2.3,69.172.216.111,3
,SSL,192.168.2.3,69.172.216.55,4
,SSL,192.168.2.3,69.172.216.58,3
,SSL,192.168.2.3,70.34.16.45,4
,SSL,192.168.2.3,72.21.214.13,3
,SSL,192.168.2.3,72.21.91.66,4
